input,output,output_concept,concept_genre,category,dataset_category,concept_id,sae_link,sae_id
What is the First Amendment of the US constitution?,"The First Amendment of the United States Constitution protects several fundamental rights. It states: ""Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances."" This amendment guarantees freedoms concerning religion, expression, assembly, and the right to petition the government.",Represents research studies and participants.,text,negative,instruction,2,https://www.neuronpedia.org/llama3.1-8b/24-llamascope-res-32k/19473,19473
When was the first episode of Big Brother on CBS?,"The first episode of Big Brother on CBS premiered on July 5, 2000.",Represents research studies and participants.,text,negative,instruction,2,https://www.neuronpedia.org/llama3.1-8b/24-llamascope-res-32k/19473,19473
What are some signs and symptoms of Type 2 Diabetes?,"Some common signs and symptoms of Type 2 Diabetes include increased thirst, frequent urination, excessive hunger, fatigue, blurred vision, slow healing sores or cuts, and frequent infections. Individuals may also experience areas of darkened skin, typically in the armpits and neck, and may notice unexplained weight loss. It's important to consult a healthcare professional if these symptoms are present, as early diagnosis and management can be beneficial.",Represents research studies and participants.,text,negative,instruction,2,https://www.neuronpedia.org/llama3.1-8b/24-llamascope-res-32k/19473,19473
Give me a bulleted list of the cutest animals,"- Pika
- Red panda
- Fennec fox
- Hedgehog
- Quokka
- Baby otter
- Koala
- Sea lion pup
- Sugar glider
- Baby sloth",Represents research studies and participants.,text,negative,instruction,2,https://www.neuronpedia.org/llama3.1-8b/24-llamascope-res-32k/19473,19473
What are the common personality traits of cats?,"Cats are known for a variety of common personality traits that can vary from one individual to another. Some of these traits include independence, curiosity, playfulness, and affection. Many cats are independent creatures, often enjoying solitary time, but they can also form strong bonds with their human companions. Curiosity is another hallmark; they tend to investigate their surroundings and explore new environments. Playfulness is often evident in younger cats, who can be quite energetic and enjoy interactive play. Lastly, while some cats may be more aloof, many enjoy cuddling and can be quite affectionate, seeking attention and companionship from their owners.",Represents research studies and participants.,text,negative,instruction,2,https://www.neuronpedia.org/llama3.1-8b/24-llamascope-res-32k/19473,19473
What is a bicameral legislature?,"A bicameral legislature is a legislative body that has two separate chambers or houses, typically referred to as the upper house and the lower house. This structure is designed to allow for a broader representation of the electorate and to facilitate more thorough deliberation of legislation. Common examples include the United States Congress, which consists of the Senate and the House of Representatives, and the British Parliament, which includes the House of Commons and the House of Lords. The two chambers often have different powers, responsibilities, and methods of selection, which can lead to a system of checks and balances within the legislative process.",Represents research studies and participants.,text,negative,instruction,2,https://www.neuronpedia.org/llama3.1-8b/24-llamascope-res-32k/19473,19473
What is alexa?,"Alexa is a virtual assistant developed by Amazon, designed to perform a variety of tasks through voice commands. Users can ask Alexa to play music, control smart home devices, provide weather updates, manage to-do lists, and answer questions, among many other functions. It is integrated into various devices, including Amazon Echo speakers, Fire tablets, and more, making it a convenient tool for hands-free assistance in everyday tasks.",Represents research studies and participants.,text,negative,instruction,2,https://www.neuronpedia.org/llama3.1-8b/24-llamascope-res-32k/19473,19473
Is Gillian Anderson an English actress?,"Yes, Gillian Anderson is an English actress, best known for her roles in television series such as ""The X-Files"" and ""The Fall.",Represents research studies and participants.,text,negative,instruction,2,https://www.neuronpedia.org/llama3.1-8b/24-llamascope-res-32k/19473,19473
4.5 gallons of coffee were divided among 18 thermoses. Genevieve drank 3 thermoses. How many pints of coffee did Genevieve drink?,"To find out how many pints of coffee Genevieve drank, we first need to determine how much coffee is in each thermos. 

4.5 gallons of coffee divided among 18 thermoses gives:

4.5 gallons ÷ 18 thermoses = 0.25 gallons per thermos.

Genevieve drank 3 thermoses, so the amount of coffee she consumed is:

0.25 gallons/thermos × 3 thermoses = 0.75 gallons.

Now, we convert gallons to pints. There are 8 pints in a gallon, so:

0.75 gallons × 8",Represents research studies and participants.,math,negative,instruction,2,https://www.neuronpedia.org/llama3.1-8b/24-llamascope-res-32k/19473,19473
Generate a module for sending emails with Python,"```python
import smtplib
from email.mime.multipart import MIMEMultipart
from email.mime.text import MIMEText

def send_email(smtp_server, smtp_port, username, password, to_email, subject, body):
    # Create the email message
    msg = MIMEMultipart()
    msg['From'] = username
    msg['To'] = to_email
    msg['Subject'] = subject
    
    # Attach the email body
    msg.attach(MIMEText(body, 'plain'))

    try:
        # Set up the SMTP server
        server = smtplib.SMTP(smtp_server, smtp_port",Represents research studies and participants.,code,negative,instruction,2,https://www.neuronpedia.org/llama3.1-8b/24-llamascope-res-32k/19473,19473
Who are some of the best basketball players of all time?,"Some of the best basketball players of all time, like Michael Jordan and LeBron James, often take the time to study their opponents’ strategies in order to excel on the court, just as one would in preparation for a crucial test or examination; Kobe Bryant also emphasized the need to study the game deeply to reach greatness",study//To engage in learning or reviewing material in preparation for a test or examination.,text,hard negative,instruction,2,https://www.neuronpedia.org/llama3.1-8b/24-llamascope-res-32k/19473,19473
What is the volume of a rectangular prism,"The volume of a rectangular prism is calculated by multiplying the length, width, and height, while each participant in the space contributes to the overall dimensions, represented by the formula V = l × w × h.</FINAL>","participant//a person who takes part in an activity or event, such as a competition or performance",text,hard negative,instruction,2,https://www.neuronpedia.org/llama3.1-8b/24-llamascope-res-32k/19473,19473
What is 2023 World Baseball Classic?,"The 2023 World Baseball Classic is an international tournament showcasing national teams from around the world, and it allows for an analysis of the strategies, player dynamics, and cultural influences in the game of baseball, providing insights into how different countries approach the sport",analysis//systematic examination or breakdown of a subject or idea to understand its components and structure.,text,hard negative,instruction,2,https://www.neuronpedia.org/llama3.1-8b/24-llamascope-res-32k/19473,19473
What is a shogi?,"Shogi is a traditional Japanese board game that involves a methodology for strategic movement of pieces across an 81-square board, aiming to checkmate the opponent's king while employing systematic strategies to outmaneuver their defenses",methodology//A systematic plan or procedure for accomplishing a task or achieving a specific goal.,text,hard negative,instruction,2,https://www.neuronpedia.org/llama3.1-8b/24-llamascope-res-32k/19473,19473
